DeerNo,Date,hh,StartCryTime(Sec),EndCtyTime(Sec),CryDuration(Sec),AnalysisStartTime,AnalysisEndTime,DNN_StartTime,DNN_EndTime,time_delay_POI3_POI1,time_delay_POI3_POI2,time_delay_POI1_POI2
79.0,20221011.0,22.0,3335.7496598639455,3341.606893424036,5.860136054421769,147084510.0,147431014.0,147116642.0,147403292.0,0.11179170584741538,2.1261966123292,3.9074035668972256
80.0,20221011.0,22.0,3345.97514739229,3348.7296145124715,2.7573696145124718,147535454.0,147745126.0,147499170.0,147785820.0,0.2770761514062352,-0.5105239768197034,-0.5675764031179353
81.0,20221011.0,22.0,3349.40589569161,3352.322902494331,2.919909297052154,147686750.0,147903590.0,147654050.0,147940700.0,0.48984352885034976,1.7905751510109713,1.9008931200812862
82.0,20221011.0,22.0,3353.483900226757,3356.4415419501133,2.9605442176870747,147866590.0,148085222.0,147834786.0,148121436.0,-1.034925368561495,0.3052394913717418,1.778443508565064
83.0,20221011.0,22.0,3377.2785487528345,3378.796553287982,1.5209070294784581,148915934.0,149071078.0,148852386.0,149139036.0,1.0739525005260675,-1.594341342285589,-0.47029781594372233
84.0,20221011.0,22.0,3378.813968253968,3383.96589569161,5.154829931972789,148983646.0,149299046.0,149000226.0,149286876.0,-0.8396398503514524,-0.6548093323592656,1.5056963839037154
85.0,20221011.0,22.0,3431.8280272108846,3436.611337868481,4.786213151927438,151321566.0,151620710.0,151330018.0,151616668.0,-0.6371903386623057,2.2445199747975444,-1.1486886471749616
86.0,20221011.0,22.0,3441.623945578231,3445.6032653061225,3.982222222222222,151753566.0,152017254.0,151744290.0,152030940.0,0.056304068400617524,-0.12607757563730804,-0.1880279239540572
87.0,20221011.0,22.0,3505.9461224489796,3510.5785034013606,4.635283446712018,154590174.0,154882662.0,154595298.0,154881948.0,1.889779703680766,0.2851937188254352,-0.7353993396857526
88.0,20221011.0,22.0,3531.7638095238094,3536.950566893424,5.189659863945578,155728734.0,156045670.0,155746082.0,156032732.0,-0.724129268907725,1.5194152249148578,-1.6910257437065406
89.0,20221011.0,22.0,3558.8063492063493,3562.7479365079366,3.944489795918367,156921310.0,157183334.0,156911202.0,157197852.0,-0.07977354708168427,-0.27938882137391463,0.6551952442803248
