Hourly_Folder,clip_name,resnet50,efficientnet-b2,mobilenet_v2,3models
221011_10pm,DeerSoundNo57_POI2_20221011_22_S2777.01_E2783.51_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo57_POI3_20221011_22_S2777.01_E2783.51_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo58_POI1_20221011_22_S2803.47_E2809.97_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo58_POI2_20221011_22_S2803.47_E2809.97_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo58_POI3_20221011_22_S2803.47_E2809.97_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo59_POI1_20221011_22_S2832.98_E2839.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo59_POI2_20221011_22_S2832.98_E2839.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo59_POI3_20221011_22_S2832.98_E2839.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo61_POI1_20221011_22_S2848.92_E2855.42_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo61_POI2_20221011_22_S2848.92_E2855.42_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo61_POI3_20221011_22_S2848.92_E2855.42_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo62_POI1_20221011_22_S2859.51_E2866.01_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo62_POI2_20221011_22_S2859.51_E2866.01_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo62_POI3_20221011_22_S2859.51_E2866.01_D6.5.wav,1,1,0,1
221011_10pm,DeerSoundNo63_POI1_20221011_22_S2867.07_E2873.57_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo63_POI2_20221011_22_S2867.07_E2873.57_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo63_POI3_20221011_22_S2867.07_E2873.57_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo65_POI1_20221011_22_S2874.87_E2881.37_D6.5.wav,0,1,1,1
221011_10pm,DeerSoundNo65_POI2_20221011_22_S2874.87_E2881.37_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo65_POI3_20221011_22_S2874.87_E2881.37_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo66_POI1_20221011_22_S2878.85_E2885.35_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo66_POI2_20221011_22_S2878.85_E2885.35_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo66_POI3_20221011_22_S2878.85_E2885.35_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo67_POI1_20221011_22_S3032.11_E3038.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo67_POI2_20221011_22_S3032.11_E3038.61_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo67_POI3_20221011_22_S3032.11_E3038.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo68_POI1_20221011_22_S3047.58_E3054.08_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo68_POI2_20221011_22_S3047.58_E3054.08_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo68_POI3_20221011_22_S3047.58_E3054.08_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo70_POI1_20221011_22_S3065.38_E3071.88_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo70_POI2_20221011_22_S3065.38_E3071.88_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo70_POI3_20221011_22_S3065.38_E3071.88_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo71_POI1_20221011_22_S3121.62_E3128.12_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo71_POI2_20221011_22_S3121.62_E3128.12_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo71_POI3_20221011_22_S3121.62_E3128.12_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo72_POI1_20221011_22_S3155.97_E3162.47_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo72_POI2_20221011_22_S3155.97_E3162.47_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo72_POI3_20221011_22_S3155.97_E3162.47_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo73_POI1_20221011_22_S3211.48_E3217.98_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo73_POI2_20221011_22_S3211.48_E3217.98_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo73_POI3_20221011_22_S3211.48_E3217.98_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo74_POI1_20221011_22_S3221.31_E3227.81_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo74_POI2_20221011_22_S3221.31_E3227.81_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo74_POI3_20221011_22_S3221.31_E3227.81_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo75_POI1_20221011_22_S3257.98_E3264.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo75_POI2_20221011_22_S3257.98_E3264.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo75_POI3_20221011_22_S3257.98_E3264.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo76_POI1_20221011_22_S3306.18_E3312.68_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo76_POI2_20221011_22_S3306.18_E3312.68_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo76_POI3_20221011_22_S3306.18_E3312.68_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo77_POI1_20221011_22_S3313.11_E3319.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo77_POI2_20221011_22_S3313.11_E3319.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo77_POI3_20221011_22_S3313.11_E3319.61_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo79_POI1_20221011_22_S3335.98_E3342.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo79_POI2_20221011_22_S3335.98_E3342.48_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo79_POI3_20221011_22_S3335.98_E3342.48_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo80_POI1_20221011_22_S3344.65_E3351.15_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo80_POI2_20221011_22_S3344.65_E3351.15_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo80_POI3_20221011_22_S3344.65_E3351.15_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo81_POI1_20221011_22_S3348.16_E3354.66_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo81_POI2_20221011_22_S3348.16_E3354.66_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo81_POI3_20221011_22_S3348.16_E3354.66_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo82_POI1_20221011_22_S3352.26_E3358.76_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo82_POI2_20221011_22_S3352.26_E3358.76_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo82_POI3_20221011_22_S3352.26_E3358.76_D6.5.wav,0,1,0,0
221011_10pm,DeerSoundNo83_POI1_20221011_22_S3375.34_E3381.84_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo83_POI2_20221011_22_S3375.34_E3381.84_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo83_POI3_20221011_22_S3375.34_E3381.84_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo84_POI1_20221011_22_S3378.69_E3385.19_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo84_POI2_20221011_22_S3378.69_E3385.19_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo84_POI3_20221011_22_S3378.69_E3385.19_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo85_POI1_20221011_22_S3431.52_E3438.02_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo85_POI2_20221011_22_S3431.52_E3438.02_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo85_POI3_20221011_22_S3431.52_E3438.02_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo86_POI1_20221011_22_S3440.91_E3447.41_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo86_POI2_20221011_22_S3440.91_E3447.41_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo86_POI3_20221011_22_S3440.91_E3447.41_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo87_POI1_20221011_22_S3505.56_E3512.06_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo87_POI2_20221011_22_S3505.56_E3512.06_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo87_POI3_20221011_22_S3505.56_E3512.06_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo88_POI1_20221011_22_S3531.66_E3538.16_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo88_POI2_20221011_22_S3531.66_E3538.16_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo88_POI3_20221011_22_S3531.66_E3538.16_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo89_POI1_20221011_22_S3558.08_E3564.58_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo89_POI2_20221011_22_S3558.08_E3564.58_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo89_POI3_20221011_22_S3558.08_E3564.58_D6.5.wav,0,0,0,0
